Data Type/Direction:                       StormTracker/Ascending
File Format/Version:                       EOL Sounding Format/1.1
Project Name/Platform:                     unknown/StormTracker
Launch Site:                               unknown
Launch Location (lon,lat,alt):             120.37643, 23.18603, 87.41383030478067
UTC Launch Time (y,m,d,h,m,s):             2021, 04, 02, 11:59:57
Sonde Id/Sonde Type:                       unknown/StormTracker/
Reference Launch Data Source/Time:         unknown/unknown
System Operator/Comments:                  SOUNDING IN EOL FORMAT/
Post Processing Comments:                  AIQC_process_v2.1_L2; Created on 10 Dec 2021 08:48 UTC  
/
  Time   -- UTC  --   Press    Temp   Dewpt    RH     Uwind   Vwind   Wspd     Dir     dZ    GeoPoAlt     Lon         Lat      GPSAlt 
   sec   hh mm   ss     mb      C       C       %      m/s     m/s     m/s     deg     m/s       m        deg         deg         m   
-------- -- -- ----- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------- ----------- ----------- --------
  316.68 12 05 13.68  852.00   23.61    9.20   39.96   -1.68    1.46    2.24  130.52    2.53     1525  120.380143   23.183427  1539.47 
  320.49 12 05 17.48  851.00   23.65    9.09   39.55   -1.48    3.01    3.47  151.75    2.73     1535  120.380085   23.183510  1549.09 
  324.00 12 05 21.00  850.00   23.71    9.05   39.30   -2.91    5.71    6.41  153.00    3.11     1546  120.380040   23.183580  1559.39 
  327.62 12 05 24.61  849.00   23.73    8.99   39.10   -1.88    2.69    3.28  145.52    2.78     1556  120.380018   23.183662  1569.27 
  331.04 12 05 28.03  848.00   23.73    8.95   39.00   -1.39    2.44    2.81  150.54    2.62     1566  120.379970   23.183741  1580.20 
  334.49 12 05 31.49  847.00   23.75    8.97   39.00   -1.17    2.44    2.71  155.61    2.90     1577  120.379955   23.183800  1590.94 
  337.79 12 05 34.78  846.00   23.74    8.96   39.00   -2.00    2.69    3.35  142.48    2.89     1587  120.379914   23.183846  1601.27 
  340.93 12 05 37.92  845.00   23.74    8.96   39.00   -1.00    3.32    3.47  163.29    3.96     1597  120.379911   23.183928  1611.70 
  343.81 12 05 40.80  844.00   23.72    8.94   39.00    0.14    2.78    2.80  182.69    4.15     1607  120.379900   23.183994  1621.83 
  346.83 12 05 43.83  843.00   23.73    8.98   39.08   -0.69    1.27    1.45  153.02    2.75     1618  120.379880   23.184058  1632.14 
